id,nom,prenom,nom_complet,date_naissance,sexe,redouble,adresse,etablissement_id,etablissement_nom
"1349","Diop","Yacine","Yacine Diop","2013-11-02","F","Oui","106 Avenue Léopold Sédar Senghor, Diourbel","38","Institut Cheikh Anta Diop"
"1350","Faye","Binta","Binta Faye","2007-09-18","F","Non","163 Avenue Corniche, Kaffrine","24","Lycée Cheikh Anta Diop"
"1351","Diop","Ibrahima","Ibrahima Diop","2015-11-16","M","Oui","134 Avenue Blaise Diagne, Tambacounda","39","Lycée Blaise Diagne"
"1352","Tall","Astou","Astou Tall","2012-04-27","F","Non","100 Boulevard de la République, Dakar","91","Lycée Lat Dior"
"1353","Fall","Dieynaba","Dieynaba Fall","2015-11-14","F","Non","53 Boulevard de l'Indépendance, Kaolack","86","Institut Cheikh Anta Diop"
"1354","Diop","Coumba","Coumba Diop","2013-04-10","F","Oui","161 Rue Blaise Diagne, Kédougou","18","Institut Aline Sitoe Diatta"
"1355","Tall","Moussa","Moussa Tall","2003-06-17","M","Non","145 Boulevard de l'Indépendance, Kaolack","41","Collège Maba Diakhou Ba"
"1356","Sarr","Abdou","Abdou Sarr","2012-06-10","M","Non","183 Boulevard Léopold Sédar Senghor, Kaolack","41","Collège Maba Diakhou Ba"
"1357","Faye","Babacar","Babacar Faye","2011-10-08","M","Non","68 Boulevard des Almadies, Kaffrine","2","Lycée Cheikh Anta Diop"
"1358","Kane","Ndeye","Ndeye Kane","2004-08-12","F","Non","147 Rue des Almadies, Kaffrine","100","Lycée Mariama Ba"
"1359","Faye","Pape","Pape Faye","2003-01-24","M","Non","17 Boulevard de la République, Louga","92","Institut Lat Dior"
"1360","Ly","Assane","Assane Ly","2012-03-08","M","Non","183 Rue de l'Indépendance, Sédhiou","19","École Blaise Diagne"
"1361","Seck","Coumba","Coumba Seck","2009-11-07","F","Non","126 Avenue des Almadies, Kaolack","21","Lycée Aline Sitoe Diatta"
"1362","Thiam","Babacar","Babacar Thiam","2014-04-24","M","Non","104 Rue de la République, Kolda","77","École Blaise Diagne"
"1363","Seck","Rokhaya","Rokhaya Seck","2004-02-22","F","Non","132 Boulevard Léopold Sédar Senghor, Thiès","58","Lycée El Hadji Omar Tall"
"1364","Ndiaye","Yacine","Yacine Ndiaye","2017-02-24","F","Non","58 Boulevard Léopold Sédar Senghor, Kolda","12","École Léopold Sédar Senghor"
"1365","Fall","Demba","Demba Fall","2010-01-28","M","Non","16 Rue Corniche, Fatick","49","Institut Maba Diakhou Ba"
"1366","Gueye","Khady","Khady Gueye","2011-07-17","F","Non","128 Rue de l'Indépendance, Thiès","58","Lycée El Hadji Omar Tall"
"1367","Ba","Mariam","Mariam Ba","2010-05-15","F","Non","27 Rue Léopold Sédar Senghor, Thiès","35","École Léopold Sédar Senghor"
"1368","Ba","Pape","Pape Ba","2008-10-01","M","Non","180 Boulevard de la République, Diourbel","99","Institut Mariama Ba"
"1369","Tall","Moussa","Moussa Tall","2007-05-01","M","Non","110 Avenue Blaise Diagne, Tambacounda","37","Lycée Maba Diakhou Ba"
"1370","Kane","Modou","Modou Kane","2009-08-18","M","Non","177 Rue Corniche, Tambacounda","72","École Aline Sitoe Diatta"
"1371","Sarr","Seynabou","Seynabou Sarr","2005-06-20","F","Non","56 Rue Blaise Diagne, Kédougou","57","École Maba Diakhou Ba"
"1372","Mbaye","Demba","Demba Mbaye","2005-06-01","M","Oui","16 Boulevard Léopold Sédar Senghor, Fatick","49","Institut Maba Diakhou Ba"
"1373","Diouf","Seynabou","Seynabou Diouf","2014-12-21","F","Non","173 Rue des Almadies, Sédhiou","1","Collège Cheikh Anta Diop"
"1374","Sow","Rama","Rama Sow","2003-04-27","F","Non","28 Avenue de l'Indépendance, Kédougou","52","École Cheikh Anta Diop"
"1375","Diop","Yacine","Yacine Diop","2007-08-01","F","Non","36 Boulevard Blaise Diagne, Sédhiou","26","Lycée Blaise Diagne"
"1376","Sow","Ndeye","Ndeye Sow","2011-05-25","F","Non","182 Boulevard de l'Indépendance, Sédhiou","47","Institut Aline Sitoe Diatta"
"1377","Cisse","Maimouna","Maimouna Cisse","2006-09-20","F","Non","136 Boulevard Corniche, Thiès","79","Collège Lat Dior"
"1378","Thiam","Mamadou","Mamadou Thiam","2013-01-16","M","Non","101 Boulevard des Almadies, Sédhiou","1","Collège Cheikh Anta Diop"
"1379","Sarr","Cheikh","Cheikh Sarr","2014-10-25","M","Oui","100 Rue Léopold Sédar Senghor, Thiès","64","École Léopold Sédar Senghor"
"1380","Ndour","Rokhaya","Rokhaya Ndour","2016-01-05","F","Oui","144 Boulevard Corniche, Matam","85","Lycée Lat Dior"
"1381","Fall","Mariam","Mariam Fall","2010-02-15","F","Oui","114 Boulevard de la République, Diourbel","55","Institut Aline Sitoe Diatta"
"1382","Ndour","Khady","Khady Ndour","2014-11-28","F","Non","29 Rue Léopold Sédar Senghor, Kaffrine","87","École Blaise Diagne"
"1383","Fall","Amadou","Amadou Fall","2005-08-01","M","Non","122 Rue de l'Indépendance, Saint-Louis","27","Collège Blaise Diagne"
"1384","Diallo","Abdou","Abdou Diallo","2005-02-03","M","Non","183 Boulevard de la République, Fatick","20","Collège Mariama Ba"
"1385","Diouf","Mamadou","Mamadou Diouf","2014-02-12","M","Non","71 Avenue Blaise Diagne, Louga","50","Collège Mariama Ba"
"1386","Tall","Ousmane","Ousmane Tall","2010-11-08","M","Non","178 Boulevard de l'Indépendance, Dakar","82","Lycée Lat Dior"
"1387","Sarr","Yacine","Yacine Sarr","2017-02-16","F","Non","142 Rue de la République, Diourbel","8","École El Hadji Omar Tall"
"1388","Ndiaye","Modou","Modou Ndiaye","2009-08-08","M","Non","31 Boulevard Corniche, Dakar","15","Institut Maba Diakhou Ba"
"1389","Ly","Modou","Modou Ly","2006-09-14","M","Oui","17 Boulevard des Almadies, Kaolack","86","Institut Cheikh Anta Diop"
"1390","Fall","Awa","Awa Fall","2008-04-27","F","Oui","140 Avenue Blaise Diagne, Diourbel","16","Lycée El Hadji Omar Tall"
"1391","Seck","Moussa","Moussa Seck","2004-07-14","M","Non","42 Rue Corniche, Kaffrine","87","École Blaise Diagne"
"1392","Seck","Alioune","Alioune Seck","2004-08-08","M","Non","155 Avenue Léopold Sédar Senghor, Diourbel","73","Lycée Aline Sitoe Diatta"
"1393","Ba","Amadou","Amadou Ba","2016-01-14","M","Non","197 Avenue de l'Indépendance, Diourbel","73","Lycée Aline Sitoe Diatta"
"1394","Tall","Yacine","Yacine Tall","2006-12-23","F","Non","137 Boulevard de la République, Louga","6","Lycée Cheikh Anta Diop"
"1395","Ba","Astou","Astou Ba","2011-02-02","F","Non","149 Avenue de l'Indépendance, Kédougou","4","École Aline Sitoe Diatta"
"1396","Fall","Ndeye","Ndeye Fall","2005-12-18","F","Non","85 Boulevard Corniche, Louga","28","Lycée Aline Sitoe Diatta"
"1397","Diagne","Binta","Binta Diagne","2006-03-03","F","Non","133 Rue de l'Indépendance, Louga","50","Collège Mariama Ba"
"1398","Diouf","Baba","Baba Diouf","2003-01-28","M","Oui","146 Boulevard Blaise Diagne, Diourbel","44","Institut Léopold Sédar Senghor"
"1399","Diop","Rama","Rama Diop","2016-03-13","F","Non","102 Boulevard Léopold Sédar Senghor, Fatick","51","Institut Mariama Ba"
"1400","Cisse","Seynabou","Seynabou Cisse","2006-04-06","F","Non","109 Avenue de l'Indépendance, Kolda","77","École Blaise Diagne"
"1401","Kane","Amadou","Amadou Kane","2010-06-22","M","Non","154 Rue des Almadies, Kédougou","57","École Maba Diakhou Ba"
"1402","Seck","Demba","Demba Seck","2017-09-19","M","Non","55 Rue des Almadies, Dakar","82","Lycée Lat Dior"
"1403","Wade","Aminata","Aminata Wade","2004-07-01","F","Non","7 Rue de l'Indépendance, Thiès","35","École Léopold Sédar Senghor"
"1404","Diop","Fatou","Fatou Diop","2010-09-07","F","Oui","30 Boulevard Blaise Diagne, Kaolack","71","Lycée Léopold Sédar Senghor"
"1405","Ly","Aminata","Aminata Ly","2009-04-23","F","Non","41 Boulevard de l'Indépendance, Fatick","61","Lycée Léopold Sédar Senghor"
"1406","Fall","Assane","Assane Fall","2007-06-06","M","Non","2 Rue Léopold Sédar Senghor, Ziguinchor","5","Collège Blaise Diagne"
"1407","Diallo","Binta","Binta Diallo","2016-10-28","F","Non","109 Rue Corniche, Kaffrine","2","Lycée Cheikh Anta Diop"
"1408","Ly","Rama","Rama Ly","2013-09-17","F","Non","35 Avenue Blaise Diagne, Saint-Louis","63","Lycée Aline Sitoe Diatta"
"1409","Diallo","Mamadou","Mamadou Diallo","2003-11-07","M","Non","191 Boulevard de la République, Louga","98","Collège Lat Dior"
"1410","Diagne","Fatou","Fatou Diagne","2016-03-20","F","Non","70 Rue de l'Indépendance, Kaolack","11","Lycée El Hadji Omar Tall"
"1411","Diouf","Demba","Demba Diouf","2011-07-13","M","Non","54 Avenue de l'Indépendance, Diourbel","38","Institut Cheikh Anta Diop"
"1412","Diallo","Rama","Rama Diallo","2015-10-07","F","Non","77 Avenue Corniche, Kaffrine","87","École Blaise Diagne"
"1413","Ba","Samba","Samba Ba","2011-08-01","M","Non","196 Avenue des Almadies, Matam","96","École Aline Sitoe Diatta"
"1414","Ndiaye","Aminata","Aminata Ndiaye","2016-05-25","F","Non","179 Boulevard des Almadies, Tambacounda","32","Lycée Aline Sitoe Diatta"
"1415","Diagne","Rama","Rama Diagne","2016-12-21","F","Non","16 Avenue de la République, Thiès","54","Lycée Léopold Sédar Senghor"
"1416","Cisse","Babacar","Babacar Cisse","2017-05-19","M","Non","176 Rue de la République, Kaffrine","67","Collège Blaise Diagne"
"1417","Diop","Astou","Astou Diop","2009-12-26","F","Non","6 Rue de la République, Saint-Louis","63","Lycée Aline Sitoe Diatta"
"1418","Fall","Abdou","Abdou Fall","2009-06-22","M","Non","120 Rue de la République, Kaffrine","100","Lycée Mariama Ba"
"1419","Sow","Baba","Baba Sow","2008-11-05","M","Non","171 Avenue Corniche, Kolda","77","École Blaise Diagne"
"1420","Tall","Khady","Khady Tall","2014-01-18","F","Non","34 Avenue Corniche, Ziguinchor","5","Collège Blaise Diagne"
"1421","Ndiaye","Ndeye","Ndeye Ndiaye","2016-09-05","F","Non","43 Boulevard des Almadies, Kaolack","43","Lycée El Hadji Omar Tall"
"1422","Ly","Yacine","Yacine Ly","2008-05-13","F","Non","11 Boulevard de l'Indépendance, Diourbel","55","Institut Aline Sitoe Diatta"
"1423","Diallo","Alioune","Alioune Diallo","2014-12-25","M","Non","68 Boulevard Léopold Sédar Senghor, Kédougou","68","Institut El Hadji Omar Tall"
"1424","Thiam","Rama","Rama Thiam","2003-06-09","F","Non","82 Avenue Léopold Sédar Senghor, Kaffrine","88","Institut Léopold Sédar Senghor"
"1425","Fall","Alioune","Alioune Fall","2017-07-24","M","Non","184 Boulevard de la République, Ziguinchor","13","Lycée Mariama Ba"
"1426","Cisse","Fatou","Fatou Cisse","2009-07-04","F","Non","169 Rue Léopold Sédar Senghor, Ziguinchor","5","Collège Blaise Diagne"
"1427","Mbaye","Rama","Rama Mbaye","2011-04-28","F","Non","115 Avenue de la République, Kédougou","40","École Mariama Ba"
"1428","Seck","Moussa","Moussa Seck","2007-10-14","M","Non","41 Rue de l'Indépendance, Kédougou","18","Institut Aline Sitoe Diatta"
"1429","Fall","Ndeye","Ndeye Fall","2005-09-17","F","Non","157 Avenue Blaise Diagne, Dakar","91","Lycée Lat Dior"
"1430","Sarr","Awa","Awa Sarr","2013-12-16","F","Non","14 Rue Corniche, Fatick","61","Lycée Léopold Sédar Senghor"
"1431","Diallo","Ndeye","Ndeye Diallo","2007-06-25","F","Non","155 Avenue Blaise Diagne, Ziguinchor","13","Lycée Mariama Ba"
"1432","Kane","Ibrahima","Ibrahima Kane","2010-06-11","M","Non","196 Avenue des Almadies, Fatick","90","Collège Lat Dior"
"1433","Ndour","Awa","Awa Ndour","2005-05-25","F","Non","155 Avenue de l'Indépendance, Saint-Louis","10","École Léopold Sédar Senghor"
"1434","Cisse","Ousmane","Ousmane Cisse","2015-07-16","M","Non","131 Rue de l'Indépendance, Sédhiou","33","Collège Maba Diakhou Ba"
"1435","Faye","Pape","Pape Faye","2016-11-28","M","Oui","82 Avenue de la République, Kolda","77","École Blaise Diagne"
"1436","Fall","Mariam","Mariam Fall","2005-05-06","F","Non","69 Avenue Léopold Sédar Senghor, Kolda","29","École Maba Diakhou Ba"
"1437","Kane","Ndeye","Ndeye Kane","2013-06-01","F","Non","47 Boulevard Corniche, Fatick","30","Lycée El Hadji Omar Tall"
"1438","Diagne","Amadou","Amadou Diagne","2011-03-25","M","Non","95 Boulevard Léopold Sédar Senghor, Louga","50","Collège Mariama Ba"
"1439","Diouf","Babacar","Babacar Diouf","2006-09-25","M","Non","33 Avenue de l'Indépendance, Saint-Louis","66","Collège Mariama Ba"
"1440","Diop","Awa","Awa Diop","2016-11-22","F","Non","128 Avenue Blaise Diagne, Kolda","25","Collège Blaise Diagne"
"1441","Ndiaye","Aminata","Aminata Ndiaye","2008-09-11","F","Non","113 Rue des Almadies, Louga","81","École Léopold Sédar Senghor"
"1442","Cisse","Dieynaba","Dieynaba Cisse","2014-05-14","F","Non","16 Boulevard Corniche, Sédhiou","1","Collège Cheikh Anta Diop"
"1443","Ly","Binta","Binta Ly","2014-12-28","F","Non","139 Rue de la République, Diourbel","55","Institut Aline Sitoe Diatta"
"1444","Cisse","Ibrahima","Ibrahima Cisse","2011-05-24","M","Non","119 Avenue Corniche, Tambacounda","32","Lycée Aline Sitoe Diatta"
"1445","Wade","Ndeye","Ndeye Wade","2016-07-28","F","Oui","46 Boulevard Blaise Diagne, Saint-Louis","76","Lycée Blaise Diagne"
"1446","Ly","Samba","Samba Ly","2005-07-16","M","Non","174 Avenue Blaise Diagne, Tambacounda","39","Lycée Blaise Diagne"
"1447","Ndiaye","Alioune","Alioune Ndiaye","2007-01-27","M","Non","160 Rue Blaise Diagne, Thiès","54","Lycée Léopold Sédar Senghor"
"1448","Ly","Dieynaba","Dieynaba Ly","2008-11-03","F","Non","186 Rue des Almadies, Kédougou","4","École Aline Sitoe Diatta"
"1449","Kane","Coumba","Coumba Kane","2012-10-23","F","Non","86 Rue Léopold Sédar Senghor, Diourbel","99","Institut Mariama Ba"
"1450","Ly","Ousmane","Ousmane Ly","2012-02-01","M","Non","15 Avenue de l'Indépendance, Thiès","54","Lycée Léopold Sédar Senghor"
"1451","Sarr","Mariam","Mariam Sarr","2003-07-26","F","Oui","102 Boulevard Blaise Diagne, Louga","50","Collège Mariama Ba"
"1452","Sarr","Ndeye","Ndeye Sarr","2005-01-03","F","Non","130 Rue Corniche, Dakar","82","Lycée Lat Dior"
"1453","Diagne","Ousmane","Ousmane Diagne","2011-09-19","M","Oui","133 Avenue de la République, Louga","81","École Léopold Sédar Senghor"
"1454","Sarr","Fatou","Fatou Sarr","2013-10-02","F","Non","69 Avenue Corniche, Kaolack","94","École Mariama Ba"
"1455","Ba","Rokhaya","Rokhaya Ba","2006-05-21","F","Non","63 Boulevard de la République, Tambacounda","72","École Aline Sitoe Diatta"
"1456","Ba","Samba","Samba Ba","2015-09-28","M","Oui","97 Boulevard Léopold Sédar Senghor, Tambacounda","32","Lycée Aline Sitoe Diatta"
"1457","Seck","Cheikh","Cheikh Seck","2011-11-17","M","Oui","23 Boulevard de la République, Louga","81","École Léopold Sédar Senghor"
"1458","Thiam","Astou","Astou Thiam","2014-10-19","F","Non","68 Boulevard des Almadies, Louga","92","Institut Lat Dior"
"1459","Sow","Babacar","Babacar Sow","2015-07-16","M","Oui","78 Rue de l'Indépendance, Matam","85","Lycée Lat Dior"
"1460","Kane","Modou","Modou Kane","2006-04-17","M","Non","34 Avenue de l'Indépendance, Saint-Louis","83","Lycée Cheikh Anta Diop"
"1461","Cisse","Yacine","Yacine Cisse","2012-06-05","F","Non","48 Rue de l'Indépendance, Tambacounda","39","Lycée Blaise Diagne"
"1462","Mbaye","Moussa","Moussa Mbaye","2013-05-27","M","Oui","177 Avenue Léopold Sédar Senghor, Thiès","36","École Cheikh Anta Diop"
"1463","Ly","Coumba","Coumba Ly","2009-11-28","F","Non","183 Rue de la République, Matam","95","Institut Lat Dior"
"1464","Sarr","Moussa","Moussa Sarr","2013-03-23","M","Oui","33 Avenue Léopold Sédar Senghor, Tambacounda","37","Lycée Maba Diakhou Ba"
"1465","Mbaye","Samba","Samba Mbaye","2007-07-04","M","Non","105 Boulevard Corniche, Fatick","20","Collège Mariama Ba"
"1466","Sow","Abdou","Abdou Sow","2012-10-06","M","Non","98 Avenue Léopold Sédar Senghor, Matam","3","Institut Lat Dior"
"1467","Tall","Rama","Rama Tall","2013-05-14","F","Non","76 Avenue Léopold Sédar Senghor, Kédougou","74","Lycée Blaise Diagne"
"1468","Ly","Assane","Assane Ly","2014-04-20","M","Non","11 Avenue Léopold Sédar Senghor, Kolda","25","Collège Blaise Diagne"
"1469","Seck","Seynabou","Seynabou Seck","2012-06-14","F","Non","190 Boulevard de l'Indépendance, Diourbel","89","Lycée Blaise Diagne"
"1470","Fall","Pape","Pape Fall","2007-08-14","M","Non","85 Rue Blaise Diagne, Kédougou","18","Institut Aline Sitoe Diatta"
"1471","Cisse","Alioune","Alioune Cisse","2004-01-25","M","Non","132 Boulevard de la République, Fatick","22","École El Hadji Omar Tall"
"1472","Kane","Ndeye","Ndeye Kane","2003-04-16","F","Non","189 Avenue Corniche, Matam","96","École Aline Sitoe Diatta"
"1473","Sarr","Pape","Pape Sarr","2017-05-06","M","Non","162 Boulevard Corniche, Thiès","58","Lycée El Hadji Omar Tall"
"1474","Sarr","Abdou","Abdou Sarr","2011-11-26","M","Oui","181 Boulevard de la République, Diourbel","17","École Léopold Sédar Senghor"
"1475","Cisse","Dieynaba","Dieynaba Cisse","2007-12-21","F","Non","114 Avenue de l'Indépendance, Tambacounda","39","Lycée Blaise Diagne"
"1476","Diop","Binta","Binta Diop","2016-10-25","F","Non","50 Avenue Corniche, Dakar","15","Institut Maba Diakhou Ba"
"1477","Tall","Ndeye","Ndeye Tall","2011-01-08","F","Non","134 Rue Corniche, Dakar","97","Institut Mariama Ba"
"1478","Diallo","Pape","Pape Diallo","2006-11-21","M","Non","156 Boulevard Léopold Sédar Senghor, Fatick","30","Lycée El Hadji Omar Tall"
"1479","Seck","Mariam","Mariam Seck","2005-05-24","F","Non","88 Rue des Almadies, Fatick","90","Collège Lat Dior"
"1480","Ly","Dieynaba","Dieynaba Ly","2007-07-04","F","Oui","77 Rue de l'Indépendance, Kaffrine","34","Collège Léopold Sédar Senghor"
"1481","Wade","Samba","Samba Wade","2003-12-19","M","Non","146 Boulevard de l'Indépendance, Louga","6","Lycée Cheikh Anta Diop"
"1482","Cisse","Fatou","Fatou Cisse","2008-07-03","F","Oui","138 Avenue de l'Indépendance, Louga","98","Collège Lat Dior"
"1483","Ba","Modou","Modou Ba","2015-01-03","M","Non","31 Avenue de l'Indépendance, Saint-Louis","10","École Léopold Sédar Senghor"
"1484","Tall","Ousmane","Ousmane Tall","2006-10-18","M","Oui","123 Avenue de l'Indépendance, Diourbel","16","Lycée El Hadji Omar Tall"
"1485","Cisse","Mariam","Mariam Cisse","2004-11-26","F","Non","136 Rue des Almadies, Thiès","54","Lycée Léopold Sédar Senghor"
"1486","Seck","Awa","Awa Seck","2004-06-14","F","Oui","28 Boulevard de l'Indépendance, Ziguinchor","84","Collège Maba Diakhou Ba"
"1487","Ba","Demba","Demba Ba","2016-12-16","M","Non","108 Avenue des Almadies, Diourbel","99","Institut Mariama Ba"
"1488","Gueye","Rokhaya","Rokhaya Gueye","2017-07-22","F","Oui","162 Rue de l'Indépendance, Sédhiou","47","Institut Aline Sitoe Diatta"
"1489","Wade","Astou","Astou Wade","2014-03-07","F","Non","129 Avenue Corniche, Saint-Louis","66","Collège Mariama Ba"
"1490","Thiam","Ibrahima","Ibrahima Thiam","2017-09-05","M","Non","134 Rue Léopold Sédar Senghor, Kaolack","86","Institut Cheikh Anta Diop"
"1491","Diop","Cheikh","Cheikh Diop","2004-01-25","M","Non","45 Avenue Corniche, Fatick","90","Collège Lat Dior"
"1492","Sarr","Ousmane","Ousmane Sarr","2007-02-15","M","Non","89 Avenue Corniche, Kédougou","74","Lycée Blaise Diagne"
"1493","Ndiaye","Rokhaya","Rokhaya Ndiaye","2014-01-18","F","Non","139 Rue de l'Indépendance, Kaolack","75","École El Hadji Omar Tall"
"1494","Diouf","Baba","Baba Diouf","2014-08-22","M","Non","42 Rue Léopold Sédar Senghor, Ziguinchor","84","Collège Maba Diakhou Ba"
"1495","Faye","Abdou","Abdou Faye","2008-10-07","M","Non","29 Boulevard Léopold Sédar Senghor, Sédhiou","33","Collège Maba Diakhou Ba"
"1496","Seck","Awa","Awa Seck","2012-03-02","F","Oui","81 Boulevard de l'Indépendance, Tambacounda","39","Lycée Blaise Diagne"
"1497","Seck","Assane","Assane Seck","2011-12-28","M","Non","109 Boulevard des Almadies, Tambacounda","72","École Aline Sitoe Diatta"
"1498","Sow","Rama","Rama Sow","2005-11-12","F","Oui","48 Boulevard de la République, Matam","85","Lycée Lat Dior"
"1499","Diouf","Aminata","Aminata Diouf","2015-08-21","F","Non","13 Avenue de la République, Tambacounda","32","Lycée Aline Sitoe Diatta"
"1500","Gueye","Ibrahima","Ibrahima Gueye","2014-04-14","M","Non","2 Boulevard Corniche, Tambacounda","14","École Blaise Diagne"
"1501","Fall","Amadou","Amadou Fall","2016-04-16","M","Non","89 Boulevard de la République, Ziguinchor","80","Lycée Blaise Diagne"
"1502","Ndour","Moussa","Moussa Ndour","2014-04-11","M","Non","70 Boulevard Blaise Diagne, Louga","92","Institut Lat Dior"
"1503","Sarr","Coumba","Coumba Sarr","2005-12-28","F","Non","82 Avenue de la République, Fatick","20","Collège Mariama Ba"
"1504","Diouf","Baba","Baba Diouf","2009-04-20","M","Non","68 Boulevard de la République, Kaolack","86","Institut Cheikh Anta Diop"
"1505","Ly","Rokhaya","Rokhaya Ly","2007-05-11","F","Oui","4 Rue Blaise Diagne, Dakar","91","Lycée Lat Dior"
"1506","Ndour","Abdou","Abdou Ndour","2014-09-20","M","Oui","191 Avenue Blaise Diagne, Sédhiou","26","Lycée Blaise Diagne"
"1507","Diouf","Modou","Modou Diouf","2006-10-18","M","Non","106 Rue Corniche, Thiès","48","Lycée Cheikh Anta Diop"
"1508","Tall","Babacar","Babacar Tall","2007-08-21","M","Non","73 Boulevard Léopold Sédar Senghor, Kolda","77","École Blaise Diagne"
"1509","Mbaye","Pape","Pape Mbaye","2013-12-14","M","Non","112 Avenue Corniche, Dakar","15","Institut Maba Diakhou Ba"
"1510","Diop","Modou","Modou Diop","2012-04-22","M","Non","62 Avenue Corniche, Dakar","91","Lycée Lat Dior"
"1511","Gueye","Aminata","Aminata Gueye","2013-03-19","F","Non","133 Boulevard des Almadies, Diourbel","17","École Léopold Sédar Senghor"
"1512","Fall","Amadou","Amadou Fall","2005-01-15","M","Oui","184 Avenue des Almadies, Kolda","9","École Maba Diakhou Ba"
"1513","Mbaye","Awa","Awa Mbaye","2016-10-26","F","Non","83 Boulevard de l'Indépendance, Sédhiou","59","École Cheikh Anta Diop"
"1514","Cisse","Samba","Samba Cisse","2012-03-23","M","Oui","137 Rue de l'Indépendance, Kaffrine","87","École Blaise Diagne"
"1515","Faye","Abdou","Abdou Faye","2016-11-23","M","Non","113 Rue de la République, Matam","85","Lycée Lat Dior"
"1516","Sarr","Astou","Astou Sarr","2016-06-11","F","Non","30 Rue des Almadies, Kaolack","71","Lycée Léopold Sédar Senghor"
"1517","Sarr","Aminata","Aminata Sarr","2008-07-26","F","Non","117 Boulevard Blaise Diagne, Thiès","58","Lycée El Hadji Omar Tall"
"1518","Diop","Moussa","Moussa Diop","2007-03-26","M","Non","84 Rue de l'Indépendance, Kolda","12","École Léopold Sédar Senghor"
"1519","Fall","Coumba","Coumba Fall","2017-08-11","F","Non","131 Avenue des Almadies, Diourbel","89","Lycée Blaise Diagne"
"1520","Fall","Ndeye","Ndeye Fall","2015-08-23","F","Non","5 Avenue de l'Indépendance, Matam","95","Institut Lat Dior"
"1521","Thiam","Alioune","Alioune Thiam","2014-01-19","M","Non","183 Rue de la République, Matam","3","Institut Lat Dior"
"1522","Thiam","Aminata","Aminata Thiam","2012-08-01","F","Non","166 Rue de l'Indépendance, Kolda","25","Collège Blaise Diagne"
"1523","Faye","Yacine","Yacine Faye","2007-03-16","F","Non","140 Rue Léopold Sédar Senghor, Saint-Louis","27","Collège Blaise Diagne"
"1524","Sow","Amadou","Amadou Sow","2009-01-04","M","Non","176 Rue Léopold Sédar Senghor, Ziguinchor","70","Collège Lat Dior"
"1525","Sarr","Maimouna","Maimouna Sarr","2004-04-11","F","Oui","129 Rue de la République, Kolda","29","École Maba Diakhou Ba"
"1526","Cisse","Binta","Binta Cisse","2014-08-08","F","Non","161 Avenue de l'Indépendance, Diourbel","38","Institut Cheikh Anta Diop"
"1527","Tall","Coumba","Coumba Tall","2010-01-02","F","Non","109 Rue de la République, Fatick","30","Lycée El Hadji Omar Tall"
"1528","Sarr","Demba","Demba Sarr","2015-02-14","M","Non","13 Rue de l'Indépendance, Saint-Louis","83","Lycée Cheikh Anta Diop"
"1529","Seck","Coumba","Coumba Seck","2012-08-06","F","Non","109 Avenue Blaise Diagne, Kaffrine","87","École Blaise Diagne"
"1530","Seck","Coumba","Coumba Seck","2004-06-04","F","Non","108 Rue Léopold Sédar Senghor, Kaolack","11","Lycée El Hadji Omar Tall"
"1531","Wade","Aminata","Aminata Wade","2008-01-22","F","Non","8 Rue Léopold Sédar Senghor, Sédhiou","26","Lycée Blaise Diagne"
"1532","Sow","Mariam","Mariam Sow","2014-04-20","F","Non","157 Rue de l'Indépendance, Kédougou","18","Institut Aline Sitoe Diatta"
"1533","Gueye","Dieynaba","Dieynaba Gueye","2015-07-23","F","Oui","200 Boulevard Léopold Sédar Senghor, Thiès","79","Collège Lat Dior"
"1534","Gueye","Alioune","Alioune Gueye","2012-09-07","M","Non","13 Avenue de l'Indépendance, Kaolack","43","Lycée El Hadji Omar Tall"
"1535","Tall","Ousmane","Ousmane Tall","2004-09-07","M","Non","50 Rue Blaise Diagne, Thiès","58","Lycée El Hadji Omar Tall"
"1536","Diagne","Ousmane","Ousmane Diagne","2012-05-27","M","Non","145 Boulevard de la République, Ziguinchor","13","Lycée Mariama Ba"
"1537","Diop","Ndeye","Ndeye Diop","2012-07-21","F","Oui","176 Boulevard des Almadies, Fatick","42","Lycée Lat Dior"
"1538","Faye","Cheikh","Cheikh Faye","2011-12-03","M","Non","35 Avenue Léopold Sédar Senghor, Thiès","64","École Léopold Sédar Senghor"
"1539","Fall","Mamadou","Mamadou Fall","2006-12-02","M","Non","149 Boulevard de l'Indépendance, Tambacounda","14","École Blaise Diagne"
"1540","Ba","Moussa","Moussa Ba","2010-05-20","M","Non","188 Rue Corniche, Kaolack","41","Collège Maba Diakhou Ba"
"1541","Ba","Ibrahima","Ibrahima Ba","2003-01-06","M","Non","142 Boulevard des Almadies, Saint-Louis","27","Collège Blaise Diagne"
"1542","Ly","Binta","Binta Ly","2003-01-16","F","Non","42 Rue de la République, Diourbel","44","Institut Léopold Sédar Senghor"
"1543","Kane","Awa","Awa Kane","2016-08-11","F","Non","127 Rue Léopold Sédar Senghor, Ziguinchor","84","Collège Maba Diakhou Ba"
"1544","Sow","Ibrahima","Ibrahima Sow","2007-04-18","M","Non","182 Rue des Almadies, Thiès","48","Lycée Cheikh Anta Diop"
"1545","Ly","Awa","Awa Ly","2003-06-05","F","Non","186 Avenue de la République, Fatick","90","Collège Lat Dior"
"1546","Ly","Ousmane","Ousmane Ly","2013-03-22","M","Non","4 Avenue de l'Indépendance, Ziguinchor","65","Institut Maba Diakhou Ba"
