id,nom,prenom,nom_complet,domaine,email,sexe,etablissement_id,etablissement_nom
"365","Ba","Samba","Samba Ba","Français","samba.ba@institutmariamaba.sn","M","97","Institut Mariama Ba"
"366","Ly","Cheikh","Cheikh Ly","Informatique","cheikh.ly@écolealinesitoediatta.sn","M","4","École Aline Sitoe Diatta"
"367","Fall","Alioune","Alioune Fall","Anglais","alioune.fall@institutmariamaba.sn","M","97","Institut Mariama Ba"
"368","Diouf","Aminata","Aminata Diouf","Éducation Physique","aminata.diouf@lycéeléopoldsédarsenghor.sn","F","54","Lycée Léopold Sédar Senghor"
"369","Diallo","Ibrahima","Ibrahima Diallo","Éducation Physique","ibrahima.diallo@lycéecheikhantadiop.sn","M","24","Lycée Cheikh Anta Diop"
"370","Sarr","Astou","Astou Sarr","Éducation Physique","astou.sarr@collègelatdior.sn","F","98","Collège Lat Dior"
"371","Cisse","Aminata","Aminata Cisse","Informatique","aminata.cisse@institutléopoldsédarsenghor.sn","F","88","Institut Léopold Sédar Senghor"
"372","Wade","Dieynaba","Dieynaba Wade","Histoire-Géographie","dieynaba.wade@lycéealinesitoediatta.sn","F","32","Lycée Aline Sitoe Diatta"
"373","Sarr","Babacar","Babacar Sarr","Arts","babacar.sarr@collègemabadiakhouba.sn","M","84","Collège Maba Diakhou Ba"
"374","Thiam","Babacar","Babacar Thiam","Arts","babacar.thiam@lycéelatdior.sn","M","85","Lycée Lat Dior"
"375","Diop","Khady","Khady Diop","Mathématiques","khady.diop@lycéemariamaba.sn","F","100","Lycée Mariama Ba"
"376","Diagne","Baba","Baba Diagne","Sciences Physiques","baba.diagne@écoleblaisediagne.sn","M","14","École Blaise Diagne"
"377","Sow","Ndeye","Ndeye Sow","Sciences Physiques","ndeye.sow@institutléopoldsédarsenghor.sn","F","88","Institut Léopold Sédar Senghor"
"378","Sow","Amadou","Amadou Sow","Anglais","amadou.sow@lycéelatdior.sn","M","42","Lycée Lat Dior"
"379","Diagne","Binta","Binta Diagne","Arts","binta.diagne@écoleblaisediagne.sn","F","78","École Blaise Diagne"
"380","Ly","Demba","Demba Ly","Éducation Physique","demba.ly@lycéeléopoldsédarsenghor.sn","M","61","Lycée Léopold Sédar Senghor"
"381","Tall","Modou","Modou Tall","Arabe","modou.tall@lycéemariamaba.sn","M","100","Lycée Mariama Ba"
"382","Diagne","Pape","Pape Diagne","Français","pape.diagne@collègeléopoldsédarsenghor.sn","M","34","Collège Léopold Sédar Senghor"
"383","Fall","Ndeye","Ndeye Fall","Sciences Physiques","ndeye.fall@écolecheikhantadiop.sn","F","59","École Cheikh Anta Diop"
"384","Seck","Baba","Baba Seck","Arabe","baba.seck@institutalinesitoediatta.sn","M","47","Institut Aline Sitoe Diatta"
"385","Ba","Moussa","Moussa Ba","Arabe","moussa.ba@lycéeelhadjiomartall.sn","M","11","Lycée El Hadji Omar Tall"
"386","Faye","Dieynaba","Dieynaba Faye","Anglais","dieynaba.faye@lycéealinesitoediatta.sn","F","28","Lycée Aline Sitoe Diatta"
"387","Diagne","Rama","Rama Diagne","Anglais","rama.diagne@lycéemariamaba.sn","F","13","Lycée Mariama Ba"
"388","Fall","Rama","Rama Fall","Informatique","rama.fall@institutlatdior.sn","F","95","Institut Lat Dior"
"389","Ly","Samba","Samba Ly","Sciences Physiques","samba.ly@écoleblaisediagne.sn","M","78","École Blaise Diagne"
"390","Diouf","Ibrahima","Ibrahima Diouf","Histoire-Géographie","ibrahima.diouf@écolecheikhantadiop.sn","M","59","École Cheikh Anta Diop"
"391","Ly","Astou","Astou Ly","Informatique","astou.ly@écolecheikhantadiop.sn","F","59","École Cheikh Anta Diop"
"392","Ndiaye","Baba","Baba Ndiaye","Arabe","baba.ndiaye@collègeléopoldsédarsenghor.sn","M","69","Collège Léopold Sédar Senghor"
"393","Seck","Babacar","Babacar Seck","Arts","babacar.seck@lycéeblaisediagne.sn","M","89","Lycée Blaise Diagne"
"394","Faye","Pape","Pape Faye","Arabe","pape.faye@institutcheikhantadiop.sn","M","38","Institut Cheikh Anta Diop"
"395","Sarr","Abdou","Abdou Sarr","Sciences Physiques","abdou.sarr@collègelatdior.sn","M","90","Collège Lat Dior"
"396","Wade","Alioune","Alioune Wade","Informatique","alioune.wade@lycéelatdior.sn","M","82","Lycée Lat Dior"
"397","Diagne","Ousmane","Ousmane Diagne","Arabe","ousmane.diagne@écolemabadiakhouba.sn","M","29","École Maba Diakhou Ba"
"398","Gueye","Baba","Baba Gueye","Français","baba.gueye@institutmabadiakhouba.sn","M","49","Institut Maba Diakhou Ba"
"399","Tall","Demba","Demba Tall","Informatique","demba.tall@lycéecheikhantadiop.sn","M","83","Lycée Cheikh Anta Diop"
"400","Ndiaye","Amadou","Amadou Ndiaye","Anglais","amadou.ndiaye@lycéeelhadjiomartall.sn","M","30","Lycée El Hadji Omar Tall"
"401","Faye","Rama","Rama Faye","Arts","rama.faye@écoleléopoldsédarsenghor.sn","F","81","École Léopold Sédar Senghor"
"402","Sow","Ibrahima","Ibrahima Sow","Sciences Naturelles","ibrahima.sow@lycéeelhadjiomartall.sn","M","30","Lycée El Hadji Omar Tall"
"403","Tall","Fatou","Fatou Tall","Sciences Naturelles","fatou.tall@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"404","Wade","Ousmane","Ousmane Wade","Français","ousmane.wade@lycéeblaisediagne.sn","M","26","Lycée Blaise Diagne"
"405","Faye","Baba","Baba Faye","Français","baba.faye@collègemariamaba.sn","M","66","Collège Mariama Ba"
"406","Ndour","Dieynaba","Dieynaba Ndour","Français","dieynaba.ndour@lycéemariamaba.sn","F","100","Lycée Mariama Ba"
"407","Ba","Demba","Demba Ba","Arts","demba.ba@lycéeléopoldsédarsenghor.sn","M","71","Lycée Léopold Sédar Senghor"
"408","Seck","Yacine","Yacine Seck","Arabe","yacine.seck@écolemariamaba.sn","F","40","École Mariama Ba"
"409","Ly","Moussa","Moussa Ly","Arabe","moussa.ly@écoleléopoldsédarsenghor.sn","M","64","École Léopold Sédar Senghor"
"410","Ba","Pape","Pape Ba","Anglais","pape.ba@lycéealinesitoediatta.sn","M","73","Lycée Aline Sitoe Diatta"
"411","Diouf","Abdou","Abdou Diouf","Français","abdou.diouf@lycéeelhadjiomartall.sn","M","11","Lycée El Hadji Omar Tall"
"412","Thiam","Yacine","Yacine Thiam","Informatique","yacine.thiam@collègemabadiakhouba.sn","F","33","Collège Maba Diakhou Ba"
"413","Ndiaye","Seynabou","Seynabou Ndiaye","Sciences Naturelles","seynabou.ndiaye@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"414","Mbaye","Amadou","Amadou Mbaye","Français","amadou.mbaye@écoleléopoldsédarsenghor.sn","M","17","École Léopold Sédar Senghor"
"415","Fall","Cheikh","Cheikh Fall","Informatique","cheikh.fall@écoleléopoldsédarsenghor.sn","M","64","École Léopold Sédar Senghor"
"416","Kane","Dieynaba","Dieynaba Kane","Histoire-Géographie","dieynaba.kane@lycéeelhadjiomartall.sn","F","30","Lycée El Hadji Omar Tall"
"417","Cisse","Rama","Rama Cisse","Arabe","rama.cisse@collègemabadiakhouba.sn","F","84","Collège Maba Diakhou Ba"
"418","Diouf","Aminata","Aminata Diouf","Éducation Physique","aminata.diouf@collègeelhadjiomartall.sn","F","46","Collège El Hadji Omar Tall"
"419","Thiam","Coumba","Coumba Thiam","Français","coumba.thiam@écoleelhadjiomartall.sn","F","8","École El Hadji Omar Tall"
"420","Kane","Aminata","Aminata Kane","Arts","aminata.kane@écolemabadiakhouba.sn","F","57","École Maba Diakhou Ba"
"421","Fall","Maimouna","Maimouna Fall","Histoire-Géographie","maimouna.fall@collègelatdior.sn","F","90","Collège Lat Dior"
"422","Kane","Moussa","Moussa Kane","Informatique","moussa.kane@lycéelatdior.sn","M","91","Lycée Lat Dior"
"423","Ndiaye","Aminata","Aminata Ndiaye","Arabe","aminata.ndiaye@écolemabadiakhouba.sn","F","57","École Maba Diakhou Ba"
"424","Faye","Mamadou","Mamadou Faye","Arabe","mamadou.faye@écoleléopoldsédarsenghor.sn","M","10","École Léopold Sédar Senghor"
"425","Ndiaye","Seynabou","Seynabou Ndiaye","Informatique","seynabou.ndiaye@écolecheikhantadiop.sn","F","52","École Cheikh Anta Diop"
"426","Cisse","Baba","Baba Cisse","Éducation Physique","baba.cisse@écolemariamaba.sn","M","40","École Mariama Ba"
"427","Tall","Astou","Astou Tall","Informatique","astou.tall@institutmariamaba.sn","F","51","Institut Mariama Ba"
"428","Mbaye","Amadou","Amadou Mbaye","Histoire-Géographie","amadou.mbaye@lycéelatdior.sn","M","85","Lycée Lat Dior"
"429","Fall","Mariam","Mariam Fall","Éducation Physique","mariam.fall@écolealinesitoediatta.sn","F","72","École Aline Sitoe Diatta"
"430","Sow","Maimouna","Maimouna Sow","Arabe","maimouna.sow@lycéeléopoldsédarsenghor.sn","F","71","Lycée Léopold Sédar Senghor"
"431","Fall","Yacine","Yacine Fall","Anglais","yacine.fall@collègelatdior.sn","F","70","Collège Lat Dior"
"432","Wade","Rokhaya","Rokhaya Wade","Informatique","rokhaya.wade@institutalinesitoediatta.sn","F","47","Institut Aline Sitoe Diatta"
"433","Sarr","Mamadou","Mamadou Sarr","Français","mamadou.sarr@collègeblaisediagne.sn","M","27","Collège Blaise Diagne"
"434","Seck","Babacar","Babacar Seck","Anglais","babacar.seck@institutmariamaba.sn","M","31","Institut Mariama Ba"
"435","Tall","Amadou","Amadou Tall","Anglais","amadou.tall@lycéecheikhantadiop.sn","M","6","Lycée Cheikh Anta Diop"
"436","Ndiaye","Babacar","Babacar Ndiaye","Éducation Physique","babacar.ndiaye@collègecheikhantadiop.sn","M","45","Collège Cheikh Anta Diop"
"437","Ly","Mariam","Mariam Ly","Français","mariam.ly@institutalinesitoediatta.sn","F","55","Institut Aline Sitoe Diatta"
"438","Diallo","Mariam","Mariam Diallo","Arabe","mariam.diallo@lycéeelhadjiomartall.sn","F","16","Lycée El Hadji Omar Tall"
"439","Diop","Binta","Binta Diop","Français","binta.diop@institutléopoldsédarsenghor.sn","F","44","Institut Léopold Sédar Senghor"
"440","Kane","Alioune","Alioune Kane","Histoire-Géographie","alioune.kane@institutcheikhantadiop.sn","M","38","Institut Cheikh Anta Diop"
"441","Ba","Rokhaya","Rokhaya Ba","Anglais","rokhaya.ba@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"442","Gueye","Amadou","Amadou Gueye","Histoire-Géographie","amadou.gueye@lycéecheikhantadiop.sn","M","6","Lycée Cheikh Anta Diop"
"443","Ly","Alioune","Alioune Ly","Anglais","alioune.ly@institutelhadjiomartall.sn","M","68","Institut El Hadji Omar Tall"
"444","Thiam","Babacar","Babacar Thiam","Anglais","babacar.thiam@lycéemariamaba.sn","M","13","Lycée Mariama Ba"
"445","Diallo","Coumba","Coumba Diallo","Français","coumba.diallo@lycéealinesitoediatta.sn","F","21","Lycée Aline Sitoe Diatta"
"446","Diouf","Baba","Baba Diouf","Sciences Physiques","baba.diouf@écolealinesitoediatta.sn","M","60","École Aline Sitoe Diatta"
"447","Thiam","Khady","Khady Thiam","Sciences Naturelles","khady.thiam@lycéecheikhantadiop.sn","F","2","Lycée Cheikh Anta Diop"
"448","Fall","Ndeye","Ndeye Fall","Informatique","ndeye.fall@lycéeléopoldsédarsenghor.sn","F","54","Lycée Léopold Sédar Senghor"
"449","Thiam","Rokhaya","Rokhaya Thiam","Anglais","rokhaya.thiam@institutmariamaba.sn","F","31","Institut Mariama Ba"
"450","Diouf","Ndeye","Ndeye Diouf","Informatique","ndeye.diouf@écolealinesitoediatta.sn","F","96","École Aline Sitoe Diatta"
"451","Thiam","Maimouna","Maimouna Thiam","Mathématiques","maimouna.thiam@écolealinesitoediatta.sn","F","60","École Aline Sitoe Diatta"
"452","Kane","Coumba","Coumba Kane","Éducation Physique","coumba.kane@écoleblaisediagne.sn","F","14","École Blaise Diagne"
"453","Tall","Binta","Binta Tall","Mathématiques","binta.tall@écoleblaisediagne.sn","F","14","École Blaise Diagne"
"454","Sarr","Mariam","Mariam Sarr","Arts","mariam.sarr@écolemabadiakhouba.sn","F","56","École Maba Diakhou Ba"
"455","Ba","Modou","Modou Ba","Éducation Physique","modou.ba@lycéecheikhantadiop.sn","M","24","Lycée Cheikh Anta Diop"
"456","Diop","Coumba","Coumba Diop","Arts","coumba.diop@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"457","Ndiaye","Coumba","Coumba Ndiaye","Anglais","coumba.ndiaye@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"458","Diagne","Modou","Modou Diagne","Français","modou.diagne@lycéealinesitoediatta.sn","M","73","Lycée Aline Sitoe Diatta"
"459","Diouf","Aminata","Aminata Diouf","Anglais","aminata.diouf@institutmariamaba.sn","F","51","Institut Mariama Ba"
"460","Ndiaye","Dieynaba","Dieynaba Ndiaye","Sciences Naturelles","dieynaba.ndiaye@écoleblaisediagne.sn","F","14","École Blaise Diagne"
"461","Cisse","Samba","Samba Cisse","Sciences Naturelles","samba.cisse@écoleblaisediagne.sn","M","14","École Blaise Diagne"
"462","Cisse","Babacar","Babacar Cisse","Français","babacar.cisse@institutmabadiakhouba.sn","M","65","Institut Maba Diakhou Ba"
"463","Wade","Demba","Demba Wade","Mathématiques","demba.wade@lycéelatdior.sn","M","85","Lycée Lat Dior"
"464","Ba","Cheikh","Cheikh Ba","Français","cheikh.ba@écolemabadiakhouba.sn","M","56","École Maba Diakhou Ba"
"465","Kane","Samba","Samba Kane","Histoire-Géographie","samba.kane@collègecheikhantadiop.sn","M","45","Collège Cheikh Anta Diop"
"466","Cisse","Awa","Awa Cisse","Arabe","awa.cisse@lycéealinesitoediatta.sn","F","21","Lycée Aline Sitoe Diatta"
"467","Sarr","Demba","Demba Sarr","Arabe","demba.sarr@collègelatdior.sn","M","90","Collège Lat Dior"
"468","Wade","Pape","Pape Wade","Informatique","pape.wade@institutmariamaba.sn","M","97","Institut Mariama Ba"
"469","Kane","Rama","Rama Kane","Français","rama.kane@lycéelatdior.sn","F","82","Lycée Lat Dior"
"470","Diouf","Ndeye","Ndeye Diouf","Mathématiques","ndeye.diouf@lycéealinesitoediatta.sn","F","32","Lycée Aline Sitoe Diatta"
"471","Faye","Yacine","Yacine Faye","Arabe","yacine.faye@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"472","Diouf","Dieynaba","Dieynaba Diouf","Histoire-Géographie","dieynaba.diouf@collègemariamaba.sn","F","66","Collège Mariama Ba"
"473","Diallo","Astou","Astou Diallo","Arabe","astou.diallo@écolealinesitoediatta.sn","F","60","École Aline Sitoe Diatta"
"474","Faye","Fatou","Fatou Faye","Sciences Physiques","fatou.faye@collègelatdior.sn","F","98","Collège Lat Dior"
"475","Tall","Aminata","Aminata Tall","Arabe","aminata.tall@collègelatdior.sn","F","79","Collège Lat Dior"
"476","Seck","Babacar","Babacar Seck","Arts","babacar.seck@lycéeelhadjiomartall.sn","M","30","Lycée El Hadji Omar Tall"
"477","Tall","Fatou","Fatou Tall","Français","fatou.tall@institutelhadjiomartall.sn","F","68","Institut El Hadji Omar Tall"
"478","Faye","Rama","Rama Faye","Sciences Physiques","rama.faye@lycéecheikhantadiop.sn","F","24","Lycée Cheikh Anta Diop"
"479","Gueye","Cheikh","Cheikh Gueye","Éducation Physique","cheikh.gueye@institutmabadiakhouba.sn","M","49","Institut Maba Diakhou Ba"
"480","Diagne","Assane","Assane Diagne","Arabe","assane.diagne@collègemariamaba.sn","M","20","Collège Mariama Ba"
"481","Ba","Ibrahima","Ibrahima Ba","Sciences Naturelles","ibrahima.ba@écolealinesitoediatta.sn","M","72","École Aline Sitoe Diatta"
"482","Faye","Pape","Pape Faye","Arts","pape.faye@institutlatdior.sn","M","3","Institut Lat Dior"
"483","Sarr","Samba","Samba Sarr","Arts","samba.sarr@écoleléopoldsédarsenghor.sn","M","12","École Léopold Sédar Senghor"
"484","Wade","Modou","Modou Wade","Éducation Physique","modou.wade@lycéealinesitoediatta.sn","M","73","Lycée Aline Sitoe Diatta"
"485","Seck","Aminata","Aminata Seck","Éducation Physique","aminata.seck@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"486","Kane","Coumba","Coumba Kane","Arabe","coumba.kane@collègemabadiakhouba.sn","F","41","Collège Maba Diakhou Ba"
"487","Cisse","Ndeye","Ndeye Cisse","Français","ndeye.cisse@écoleblaisediagne.sn","F","87","École Blaise Diagne"
"488","Seck","Ousmane","Ousmane Seck","Histoire-Géographie","ousmane.seck@institutlatdior.sn","M","92","Institut Lat Dior"
"489","Fall","Maimouna","Maimouna Fall","Arts","maimouna.fall@lycéeblaisediagne.sn","F","74","Lycée Blaise Diagne"
"490","Wade","Awa","Awa Wade","Arts","awa.wade@écolemariamaba.sn","F","40","École Mariama Ba"
"491","Gueye","Binta","Binta Gueye","Anglais","binta.gueye@institutmariamaba.sn","F","99","Institut Mariama Ba"
"492","Ly","Cheikh","Cheikh Ly","Histoire-Géographie","cheikh.ly@institutmabadiakhouba.sn","M","65","Institut Maba Diakhou Ba"
"493","Kane","Cheikh","Cheikh Kane","Sciences Physiques","cheikh.kane@écolecheikhantadiop.sn","M","53","École Cheikh Anta Diop"
"494","Seck","Ndeye","Ndeye Seck","Anglais","ndeye.seck@écolemabadiakhouba.sn","F","57","École Maba Diakhou Ba"
"495","Ndour","Ndeye","Ndeye Ndour","Arabe","ndeye.ndour@collègeléopoldsédarsenghor.sn","F","69","Collège Léopold Sédar Senghor"
"496","Diop","Moussa","Moussa Diop","Sciences Physiques","moussa.diop@collègemariamaba.sn","M","66","Collège Mariama Ba"
"497","Ly","Seynabou","Seynabou Ly","Anglais","seynabou.ly@collègeblaisediagne.sn","F","67","Collège Blaise Diagne"
"498","Diallo","Babacar","Babacar Diallo","Sciences Naturelles","babacar.diallo@collègelatdior.sn","M","90","Collège Lat Dior"
"499","Diagne","Alioune","Alioune Diagne","Sciences Naturelles","alioune.diagne@lycéealinesitoediatta.sn","M","21","Lycée Aline Sitoe Diatta"
"500","Sarr","Mamadou","Mamadou Sarr","Anglais","mamadou.sarr@institutmariamaba.sn","M","97","Institut Mariama Ba"
"501","Tall","Mariam","Mariam Tall","Sciences Physiques","mariam.tall@écolecheikhantadiop.sn","F","36","École Cheikh Anta Diop"
"502","Kane","Abdou","Abdou Kane","Histoire-Géographie","abdou.kane@écolecheikhantadiop.sn","M","59","École Cheikh Anta Diop"
"503","Fall","Mariam","Mariam Fall","Français","mariam.fall@écolecheikhantadiop.sn","F","53","École Cheikh Anta Diop"
"504","Kane","Astou","Astou Kane","Éducation Physique","astou.kane@écolemabadiakhouba.sn","F","56","École Maba Diakhou Ba"
"505","Diop","Rama","Rama Diop","Mathématiques","rama.diop@lycéecheikhantadiop.sn","F","24","Lycée Cheikh Anta Diop"
"506","Kane","Mariam","Mariam Kane","Histoire-Géographie","mariam.kane@écoleblaisediagne.sn","F","19","École Blaise Diagne"
"507","Diouf","Mamadou","Mamadou Diouf","Arabe","mamadou.diouf@écolealinesitoediatta.sn","M","72","École Aline Sitoe Diatta"
"508","Sarr","Rokhaya","Rokhaya Sarr","Sciences Naturelles","rokhaya.sarr@lycéelatdior.sn","F","82","Lycée Lat Dior"
"509","Diouf","Samba","Samba Diouf","Arts","samba.diouf@lycéeblaisediagne.sn","M","80","Lycée Blaise Diagne"
"510","Fall","Dieynaba","Dieynaba Fall","Arts","dieynaba.fall@collègecheikhantadiop.sn","F","45","Collège Cheikh Anta Diop"
"511","Tall","Alioune","Alioune Tall","Anglais","alioune.tall@lycéealinesitoediatta.sn","M","73","Lycée Aline Sitoe Diatta"
"512","Diallo","Assane","Assane Diallo","Histoire-Géographie","assane.diallo@collègecheikhantadiop.sn","M","45","Collège Cheikh Anta Diop"
"513","Mbaye","Binta","Binta Mbaye","Sciences Naturelles","binta.mbaye@lycéeblaisediagne.sn","F","80","Lycée Blaise Diagne"
"514","Faye","Ousmane","Ousmane Faye","Arts","ousmane.faye@lycéelatdior.sn","M","42","Lycée Lat Dior"
"515","Cisse","Rokhaya","Rokhaya Cisse","Histoire-Géographie","rokhaya.cisse@lycéecheikhantadiop.sn","F","48","Lycée Cheikh Anta Diop"
"516","Diouf","Ndeye","Ndeye Diouf","Arabe","ndeye.diouf@lycéelatdior.sn","F","91","Lycée Lat Dior"
"517","Ba","Assane","Assane Ba","Histoire-Géographie","assane.ba@collègeléopoldsédarsenghor.sn","M","34","Collège Léopold Sédar Senghor"
"518","Diop","Mamadou","Mamadou Diop","Français","mamadou.diop@lycéealinesitoediatta.sn","M","28","Lycée Aline Sitoe Diatta"
"519","Diagne","Awa","Awa Diagne","Arabe","awa.diagne@lycéecheikhantadiop.sn","F","83","Lycée Cheikh Anta Diop"
"520","Ndour","Rama","Rama Ndour","Arabe","rama.ndour@écolemariamaba.sn","F","40","École Mariama Ba"
"521","Thiam","Ndeye","Ndeye Thiam","Sciences Naturelles","ndeye.thiam@écolecheikhantadiop.sn","F","52","École Cheikh Anta Diop"
"522","Ly","Rokhaya","Rokhaya Ly","Français","rokhaya.ly@institutcheikhantadiop.sn","F","86","Institut Cheikh Anta Diop"
"523","Cisse","Dieynaba","Dieynaba Cisse","Arabe","dieynaba.cisse@écoleblaisediagne.sn","F","14","École Blaise Diagne"
"524","Diagne","Rama","Rama Diagne","Histoire-Géographie","rama.diagne@écolemariamaba.sn","F","94","École Mariama Ba"
"525","Diagne","Awa","Awa Diagne","Arts","awa.diagne@lycéecheikhantadiop.sn","F","24","Lycée Cheikh Anta Diop"
"526","Seck","Awa","Awa Seck","Sciences Naturelles","awa.seck@lycéealinesitoediatta.sn","F","28","Lycée Aline Sitoe Diatta"
"527","Kane","Amadou","Amadou Kane","Arabe","amadou.kane@écoleblaisediagne.sn","M","78","École Blaise Diagne"
"528","Sow","Modou","Modou Sow","Anglais","modou.sow@lycéeelhadjiomartall.sn","M","16","Lycée El Hadji Omar Tall"
"529","Kane","Coumba","Coumba Kane","Sciences Physiques","coumba.kane@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"530","Sow","Rama","Rama Sow","Arts","rama.sow@institutlatdior.sn","F","3","Institut Lat Dior"
"531","Diallo","Ousmane","Ousmane Diallo","Sciences Naturelles","ousmane.diallo@lycéecheikhantadiop.sn","M","24","Lycée Cheikh Anta Diop"
"532","Wade","Rokhaya","Rokhaya Wade","Informatique","rokhaya.wade@collègelatdior.sn","F","70","Collège Lat Dior"
"533","Tall","Alioune","Alioune Tall","Éducation Physique","alioune.tall@écoleelhadjiomartall.sn","M","22","École El Hadji Omar Tall"
"534","Diouf","Samba","Samba Diouf","Arabe","samba.diouf@collègeléopoldsédarsenghor.sn","M","69","Collège Léopold Sédar Senghor"
"535","Faye","Coumba","Coumba Faye","Mathématiques","coumba.faye@institutlatdior.sn","F","3","Institut Lat Dior"
"536","Tall","Ousmane","Ousmane Tall","Arts","ousmane.tall@lycéeelhadjiomartall.sn","M","11","Lycée El Hadji Omar Tall"
"537","Fall","Khady","Khady Fall","Informatique","khady.fall@lycéecheikhantadiop.sn","F","24","Lycée Cheikh Anta Diop"
"538","Cisse","Fatou","Fatou Cisse","Mathématiques","fatou.cisse@lycéemariamaba.sn","F","100","Lycée Mariama Ba"
"539","Sarr","Fatou","Fatou Sarr","Anglais","fatou.sarr@écolemabadiakhouba.sn","F","9","École Maba Diakhou Ba"
"540","Ba","Aminata","Aminata Ba","Français","aminata.ba@institutléopoldsédarsenghor.sn","F","88","Institut Léopold Sédar Senghor"
"541","Tall","Samba","Samba Tall","Informatique","samba.tall@écolecheikhantadiop.sn","M","53","École Cheikh Anta Diop"
"542","Wade","Mariam","Mariam Wade","Français","mariam.wade@lycéelatdior.sn","F","85","Lycée Lat Dior"
"543","Seck","Aminata","Aminata Seck","Informatique","aminata.seck@institutmariamaba.sn","F","7","Institut Mariama Ba"
"544","Ba","Maimouna","Maimouna Ba","Arabe","maimouna.ba@lycéecheikhantadiop.sn","F","6","Lycée Cheikh Anta Diop"
"545","Ba","Binta","Binta Ba","Arabe","binta.ba@lycéeelhadjiomartall.sn","F","58","Lycée El Hadji Omar Tall"
"546","Sow","Moussa","Moussa Sow","Français","moussa.sow@collègelatdior.sn","M","79","Collège Lat Dior"
"547","Seck","Baba","Baba Seck","Français","baba.seck@écolealinesitoediatta.sn","M","72","École Aline Sitoe Diatta"
"548","Ndiaye","Ndeye","Ndeye Ndiaye","Informatique","ndeye.ndiaye@écolealinesitoediatta.sn","F","72","École Aline Sitoe Diatta"
"549","Diouf","Yacine","Yacine Diouf","Arabe","yacine.diouf@écolemabadiakhouba.sn","F","29","École Maba Diakhou Ba"
"550","Sarr","Rokhaya","Rokhaya Sarr","Mathématiques","rokhaya.sarr@écolecheikhantadiop.sn","F","59","École Cheikh Anta Diop"
"551","Diagne","Babacar","Babacar Diagne","Sciences Naturelles","babacar.diagne@institutléopoldsédarsenghor.sn","M","88","Institut Léopold Sédar Senghor"
"552","Diagne","Coumba","Coumba Diagne","Arts","coumba.diagne@collègeblaisediagne.sn","F","27","Collège Blaise Diagne"
"553","Diouf","Mariam","Mariam Diouf","Arabe","mariam.diouf@institutelhadjiomartall.sn","F","68","Institut El Hadji Omar Tall"
"554","Diouf","Abdou","Abdou Diouf","Arts","abdou.diouf@lycéecheikhantadiop.sn","M","24","Lycée Cheikh Anta Diop"
"555","Cisse","Mamadou","Mamadou Cisse","Éducation Physique","mamadou.cisse@lycéeblaisediagne.sn","M","26","Lycée Blaise Diagne"
"556","Diagne","Awa","Awa Diagne","Mathématiques","awa.diagne@institutmariamaba.sn","F","51","Institut Mariama Ba"
"557","Fall","Rokhaya","Rokhaya Fall","Sciences Naturelles","rokhaya.fall@institutmariamaba.sn","F","99","Institut Mariama Ba"
"558","Kane","Seynabou","Seynabou Kane","Informatique","seynabou.kane@lycéecheikhantadiop.sn","F","2","Lycée Cheikh Anta Diop"
"559","Wade","Babacar","Babacar Wade","Sciences Physiques","babacar.wade@collègemabadiakhouba.sn","M","33","Collège Maba Diakhou Ba"
"560","Diouf","Moussa","Moussa Diouf","Sciences Physiques","moussa.diouf@collègecheikhantadiop.sn","M","45","Collège Cheikh Anta Diop"
"561","Diagne","Coumba","Coumba Diagne","Anglais","coumba.diagne@écoleléopoldsédarsenghor.sn","F","64","École Léopold Sédar Senghor"
"562","Diop","Rama","Rama Diop","Éducation Physique","rama.diop@écolecheikhantadiop.sn","F","59","École Cheikh Anta Diop"
"563","Sarr","Ibrahima","Ibrahima Sarr","Anglais","ibrahima.sarr@écolemariamaba.sn","M","40","École Mariama Ba"
"564","Sow","Astou","Astou Sow","Éducation Physique","astou.sow@lycéeblaisediagne.sn","F","74","Lycée Blaise Diagne"
"565","Fall","Binta","Binta Fall","Sciences Naturelles","binta.fall@lycéealinesitoediatta.sn","F","28","Lycée Aline Sitoe Diatta"
"566","Ly","Babacar","Babacar Ly","Anglais","babacar.ly@institutmabadiakhouba.sn","M","65","Institut Maba Diakhou Ba"
"567","Mbaye","Modou","Modou Mbaye","Arts","modou.mbaye@lycéealinesitoediatta.sn","M","73","Lycée Aline Sitoe Diatta"
"568","Sow","Moussa","Moussa Sow","Informatique","moussa.sow@collègelatdior.sn","M","79","Collège Lat Dior"
"569","Mbaye","Modou","Modou Mbaye","Arabe","modou.mbaye@lycéelatdior.sn","M","85","Lycée Lat Dior"
"570","Fall","Amadou","Amadou Fall","Français","amadou.fall@collègeblaisediagne.sn","M","27","Collège Blaise Diagne"
"571","Fall","Abdou","Abdou Fall","Mathématiques","abdou.fall@écolemariamaba.sn","M","94","École Mariama Ba"
